Date,Set,Order,Age,Complete,SUhour,SUmin,SUsec,SUtimehr,SUagehr,Clutch,Tray,ESU,ProblemE,AudacityAmp,Amp,EP5,HSUnotes,PBKhour,PBKmin,PBKsec,PBKtimehr,PBKtimemin,PBKage,FirstHhour,FirstHmin,FirstHsec,FirstHtimehr,FirstHtimemin,LtoH,EPPBK,EP3m,PropH,NumHat,DorsalIMG1,DorsalIMG2,DorsalIMG3
20160731,16,23,5,N,15,20,25,15.34027778,135.3402778,C512,2,15,NA,0.25,,13,NA,15,26,0,15.43333333,926,135.4333333,15,26,20,15.43888889,926.3333333,0.333333333,7,7,0.461538462,6,6210,6211,6212
20160725,6,24,5,Y,15,0,26,15.00722222,135.0072222,C474,1,12,NA,0.12,,9,NA,15,6,15,15.10416667,906.25,135.1041667,NA,NA,NA,NA,NA,NA,9,9,0,0,5993,5994,5995
20160725,6,25,5,Y,15,18,45,15.3125,135.3125,C477,1,9,NA,0.01,,8,NA,15,23,50,15.39722222,923.8333333,135.3972222,NA,NA,NA,NA,NA,NA,8,7,0.125,1,5997,5998,5999
20160725,6,26,5,Y,15,45,4,15.75111111,135.7511111,C475,2,8,NA,0.25,,7,NA,15,50,5,15.83472222,950.0833333,135.8347222,15,50,58,15.84944444,950.9666667,0.883333333,2,2,0.714285714,5,6000,6001,6002
20160725,6,27,5,Y,17,14,38,17.24388889,137.2438889,C476,1,14,NA,0.05,,11,NA,17,19,45,17.32916667,1039.75,137.3291667,17,22,42,17.37833333,1042.7,2.95,10,10,0.090909091,1,6017,6018,6019
20160725,7,28,5,Y,16,0,29,16.00805556,136.0080556,C475,1,10,NA,0.01,,9,NA,16,6,50,16.11388889,966.8333333,136.1138889,NA,NA,NA,NA,NA,NA,9,9,0,0,6004,6005,6006
20160725,7,29,5,Y,16,18,27,16.3075,136.3075,C478,1,13,NA,0.05,,12,NA,16,23,30,16.39166667,983.5,136.3916667,16,25,16,16.42111111,985.2666667,1.766666667,9,9,0.25,3,6007,6009,6010
20160725,7,30,5,Y,16,34,45,16.57916667,136.5791667,C478,2,13,NA,0.25,,12,NA,16,39,50,16.66388889,999.8333333,136.6638889,16,40,53,16.68138889,1000.883333,1.05,7,6,0.5,6,6011,6012,6013
20160725,7,31,5,Y,16,53,49,16.89694444,136.8969444,C478,3,13,NA,0.12,,13,NA,16,59,0,16.98333333,1019,136.9833333,17,2,30,17.04166667,1022.5,3.5,12,11,0.153846154,2,6014,6015,6016
20160726,8,32,5,Y,15,8,52,15.14777778,135.1477778,C485,1,15,NA,0.01,,12,NA,15,14,0,15.23333333,914,135.2333333,NA,NA,NA,NA,NA,NA,12,12,0,0,6021,6022,6023
20160726,8,33,5,Y,15,27,12,15.45333333,135.4533333,C485,2,14,NA,0.05,,13,NA,15,32,30,15.54166667,932.5,135.5416667,NA,NA,NA,NA,NA,NA,13,13,0,0,6024,6025,6026
20160726,8,34,5,Y,15,44,44,15.74555556,135.7455556,C485,3,13,NA,0.25,,10,NA,15,50,50,15.84722222,950.8333333,135.8472222,15,56,10,15.93611111,956.1666667,5.333333333,9,9,0.1,1,6027,6028,6029
20160726,8,35,5,Y,16,2,16,16.03777778,136.0377778,C485,4,15,NA,0.12,,14,NA,16,8,0,16.13333333,968,136.1333333,NA,NA,NA,NA,NA,NA,14,14,0,0,6030,6031,6032
20160726,9,36,5,Y,16,21,37,16.36027778,136.3602778,C482,3,14,NA,0.05,,12,NA,16,27,40,16.46111111,987.6666667,136.4611111,16,30,11,16.50305556,990.1833333,2.516666667,10,10,0.166666667,2,,,
20160726,9,37,5,Y,16,39,40,16.66111111,136.6611111,C486,1,15,NA,0.01,,9,NA,16,45,0,16.75,1005,136.75,NA,NA,NA,NA,NA,NA,9,9,0,0,6033,6035,6038
20160726,9,38,5,Y,16,56,36,16.94333333,136.9433333,C483,1,14,NA,0.25,,12,NA,17,1,40,17.02777778,1021.666667,137.0277778,17,2,50,17.04722222,1022.833333,1.166666667,9,9,0.25,3,6039,6040,6041
20160726,9,39,5,Y,17,13,24,17.22333333,137.2233333,C483,2,14,NA,0.12,,8,NA,17,18,30,17.30833333,1038.5,137.3083333,17,19,33,17.32583333,1039.55,1.05,7,6,0.25,2,6042,6044,6045
20160726,10,40,5,Y,17,29,50,17.49722222,137.4972222,C483,3,13,NA,0.05,,10,NA,17,37,30,17.625,1057.5,137.625,NA,NA,NA,NA,NA,NA,10,10,0,0,6046,6048,6049
20160726,10,41,5,Y,17,50,21,17.83916667,137.8391667,C488,1,12,NA,0.12,,8,NA,17,55,30,17.925,1075.5,137.925,17,57,58,17.96611111,1077.966667,2.466666667,7,7,0.125,1,6050,6051,6052
20160726,10,42,5,Y,18,8,42,18.145,138.145,C491,1,9,NA,0.25,,7,NA,18,14,0,18.23333333,1094,138.2333333,18,17,22,18.28944444,1097.366667,3.366666667,6,6,0.142857143,1,6053,6054,6057
20160726,10,43,5,Y,18,31,6,18.51833333,138.5183333,C490,2,10,NA,0.01,,9,NA,18,36,30,18.60833333,1116.5,138.6083333,NA,NA,NA,NA,NA,NA,9,9,0,0,6058,6059,6060
20160726,11,44,5,Y,18,50,23,18.83972222,138.8397222,C489,1,10,NA,0.01,,9,NA,18,56,30,18.94166667,1136.5,138.9416667,NA,NA,NA,NA,NA,NA,9,9,0,0,6061,6062,6063
20160726,11,45,5,Y,19,6,44,19.11222222,139.1122222,C486,3,14,NA,0.25,,12,NA,19,11,45,19.19583333,1151.75,139.1958333,19,13,23,19.22305556,1153.383333,1.633333333,11,11,0.083333333,1,6065,6067,6069
20160726,11,46,5,Y,19,21,30,19.35833333,139.3583333,C489,2,13,NA,0.12,,8,NA,19,26,30,19.44166667,1166.5,139.4416667,NA,NA,NA,NA,NA,NA,8,8,0,0,6070,6071,6072
20160726,11,47,5,Y,19,35,56,19.59888889,139.5988889,C486,2,14,NA,0.05,,14,NA,19,41,0,19.68333333,1181,139.6833333,NA,NA,NA,NA,NA,NA,14,14,0,0,6074,6075,6076
20160727,13,48,5,Y,15,8,7,15.13527778,135.1352778,C494,2,14,NA,0.12,,6,NA,15,14,8,15.23555556,914.1333333,135.2355556,15,16,50,15.28055556,916.8333333,2.7,3,3,0.5,3,6081,6082,6084
20160727,13,49,5,Y,15,24,39,15.41083333,135.4108333,C494,1,13,NA,0.01,,13,NA,15,29,51,15.4975,929.85,135.4975,NA,NA,NA,NA,NA,NA,13,13,0,0,6087,6088,6090
20160727,13,50,5,Y,15,42,15,15.70416667,135.7041667,C492,2,13,NA,0.05,,13,NA,15,48,4,15.80111111,948.0666667,135.8011111,NA,NA,NA,NA,NA,NA,13,13,0,0,6091,6092,6093
20160727,13,51,5,Y,16,0,0,16,136,C495,3,15,NA,0.25,,15,NA,16,6,20,16.10555556,966.3333333,136.1055556,16,7,40,16.12777778,967.6666667,1.333333333,14,14,0.066666667,1,6096,6097,6098
20160727,14,52,5,Y,16,17,53,16.29805556,136.2980556,C494,3,15,NA,0.25,,15,NA,16,23,13,16.38694444,983.2166667,136.3869444,16,26,25,16.44027778,986.4166667,3.2,12,11,0.266666667,4,6100,6104,6106
20160727,14,53,5,Y,16,34,34,16.57611111,136.5761111,C495,2,15,NA,0.01,,14,NA,16,42,26,16.70722222,1002.433333,136.7072222,NA,NA,NA,NA,NA,NA,14,14,0,0,6107,6108,6110
20160727,14,54,5,Y,16,54,19,16.90527778,136.9052778,C495,1,13,NA,0.12,,13,NA,16,59,17,16.98805556,1019.283333,136.9880556,NA,NA,NA,NA,NA,NA,13,12,0.076923077,1,6113,6115,6118
20160727,14,55,5,Y,17,10,40,17.17777778,137.1777778,C493,1,9,NA,0.05,,9,NA,17,15,54,17.265,1035.9,137.265,NA,NA,NA,NA,NA,NA,9,9,0,0,6120,6123,6126
